RANK,TIME,ATHLETE/TEAM,GRADE,MEET DATEPLACE
1,09:01.94,ZACHARY KINNENorth Allegheny,2019,"PIAA T&F State Championships1stMay 24, 2019 - May 25, 2019"
2,09:07.88,CHAYCE MACKNAIRMifflin County High School,2019,"PIAA T&F State Championships2ndMay 24, 2019 - May 25, 2019"
3,09:07.99,CAMERON BINDAGreensburg Salem,2019,"Pine-Richland Invitational1stMay 3, 2019"
4,09:08.86,DANIEL MCGOEYNorth Allegheny,2020,"PIAA T&F State Championships3rdMay 24, 2019 - May 25, 2019"
5,09:11.63,ROBERT DIDONATOGermantown Academy,2021,"14th Annual Hoka One One Henderson Invitational2ndMay 3, 2019"
6,09:12.17,ZACHARY LEACHMANMars Area,2020,"PIAA T&F State Championships4thMay 24, 2019 - May 25, 2019"
7,09:17.41,COLE WALKERUnionville,2020,"14th Annual Hoka One One Henderson Invitational3rdMay 3, 2019"
8,09:17.75,CHRISTIAN FITCHFox Chapel Area,2020,"PIAA T&F State Championships6thMay 24, 2019 - May 25, 2019"
9,09:18.68,TYLER WIRTHWallenpaupack,2019,"The Robert Spagna Championship1stMay 7, 2019"
10,09:22.58,JACK MILLERJenkintown,2019,"14th Annual Hoka One One Henderson Invitational5thMay 3, 2019"
11,09:22.72,TYLER CLIFFORDPerkiomen Valley,2020,"PIAA T&F State Championships7thMay 24, 2019 - May 25, 2019"
12,09:22.77,KRYSTOF LAPOTSKYMount Carmel Area,2020,"14th Annual Hoka One One Henderson Invitational6thMay 3, 2019"
13,09:23.14,CASEY PADGETTCarlisle,2020,"PIAA T&F State Championships8thMay 24, 2019 - May 25, 2019"
14,09:23.88,PAYTON SEWALLDowningtown West,2019,"14th Annual Hoka One One Henderson Invitational7thMay 3, 2019"
15,09:23.90,DARLYN FERMINLiberty,2019,"PIAA T&F State Championships9thMay 24, 2019 - May 25, 2019"
16,09:24.75,COLTON SANDSPenns Valley Area,2021,"PIAA T&F State Championships1stMay 24, 2019 - May 25, 2019"
17,09:25.50,PATRICK ANDERSONMount Lebanon,2020,"Mount Lebanon Invitational1stMar 30, 2019"
18,09:25.90,BRANDAN KNEPPERMechanicsburg Area High School,2019,"14th Annual Hoka One One Henderson Invitational8thMay 3, 2019"
19,09:25.99,IAN MILLERManheim Township,2019,"18th Bruce Dallas Invitational1stApr 6, 2019"
20,09:26.80,J. HENRY LYONWilliamsport Area,2021,"PHAC Track and Field Championships 20191stMay 11, 2019"
21,09:27.11,VINCENT TWOMEYLaSalle College High School,2020,"14th Annual Hoka One One Henderson Invitational10thMay 3, 2019"
22,09:27.41,NATE PRICEGeneral McLane,2019,"22nd Annual LHU High School Classic2ndApr 27, 2019"
23,09:28.16,ZACK MARMOLPeters Township,2020,"15th Annual South Hills Classic1stApr 6, 2019"
24,09:29.48,SAMIR RAZINorth Penn,2020,"PIAA District 1 AAA Championships3rdMay 17, 2019 - May 18, 2019"
25,09:30.55,LOGAN HORSTLancaster Mennonite,2019,"PIAA T&F State Championships3rdMay 24, 2019 - May 25, 2019"
25,09:30.55,DECLAN RYMERDowningtown West,2021,"14th Annual Hoka One One Henderson Invitational12thMay 3, 2019"
27,09:31.29,ETHAN MAHERLaSalle College High School,2020,"14th Annual Hoka One One Henderson Invitational13thMay 3, 2019"
28,09:31.78,NICK FETZERWestmont Hilltop,2020,"PIAA T&F State Championships4thMay 24, 2019 - May 25, 2019"
29,09:32.37,TANNER WALTERMilton Area,2020,"PIAA T&F State Championships5thMay 24, 2019 - May 25, 2019"
30,09:33.41,ALEXANDER ERMOLDGovernor Mifflin,2019,"90th Annual John H. Shaner Memorial Track Meet1stMay 3, 2019 - May 4, 2019"
31,09:34.42,CALVIN PASHWest Chester Henderson,2019,"14th Annual Hoka One One Henderson Invitational14thMay 3, 2019"
